Carimbo de data/hora,Qual sua faixa etária? ,Escolaridade,Qual seu gênero?,Qual sua religião?,Local do Brasil onde mora,Estado cívil,Raça,Quantos anos você tinha quando se casou?,Você namorou por quanto tempo antes de se casar?,Quanto tempo de noivado/preparação para o casamento?,"Pelo dicionário expectativas podem ser compreendidas como, situação de quem espera a ocorrência de algo, ou sua probabilidade de ocorrência, em determinado momento. Na sua perspectiva, as expectativas: ",Quais eram ás suas expectativas no inicio do casamento?,"As expectativas citadas na questão acima, se supriram ao longo do tempo? ",Quais fatores eram importantes para sustentar as expectativas criadas para o matrimônio? (Você pode marcar mais de uma).,"Na sua perspectiva, quais eram as expectativas que seu conjuge tinha em relação ao casamento no ínicio? ",Quais sentimentos apareceram nos primeiros anos de casado? (Tendo como referência os primeiros dois anos),Por algum momento você se arrependeu de ter casado?,Algum dos motivos para você ter se arrependido de se casar foi devido a uma quebra de expectativas?,"Se você respondeu sim, para a ultima pergunta, quais expectativas foram quebradas? ",O que você fez quando houve quebra de expectativas? ,"E atualmente, depois de um tempo de casado, quais caracteristicas são mais importantes para sustentar as expectativas criadas para o matrimônio? (Você pode marcar mais de uma).","E hoje, você se permite criar expectativas para o casamento? ","Se a sua resposta foi sim, na pergunta anterior, depois de um tempo de casado, quais são as expectativas para os proximos anos? ",O que foi importante para moldar e criar suas expectativas em relação ao casamento?,Conte um pouco de como foi o início do casamento para voce? 
10/03/2023 13:24:03,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2023 18:50:58,36 á 41 anos,Graduação em curso,Femino,Católico,Norte,Divorciado (a),,24 á 29 anos,Acimas de 4 anos,2 e 3 anos,Atrapalham muito a relação,"Reciprocidade Amorosa, Segurança afetiva (vínculo seguro e constante), Condições de sair da casa dos meus pais e construir minha própria família",não,"Personalidade do meu conjuge, Financeiros, A família do conjuge",Condições de sair da casa dos meus pais e construir minha própria família,Alegria,sim,sim,reciprocidade amorosa e segurança afetiva,"Convesei, Pedi ajuda de lideres religiosos, Me separei, Perseverei e tentei reajustar a relação, Terapia de casal","Personalidade do meu conjuge, Financeiros, A família do conjuge ou minha familia, Ambiente",Não,,"Histórias antigas das minhas referências (pais, avós, familiares, líderes), Valores",Relação difícil com familiares
15/03/2023 21:50:25,Acima de 42 anos,Pós Graduação,Femino,Católico,Sudeste,Casado,,30 á 35 anos,Entre 3 e 4 anos,Entre 6 e 1 ano,São importantes para saúde e manutenção do casamento,"Reciprocidade Amorosa, Aceitação Social, Segurança afetiva (vínculo seguro e constante), Ter filhos",não,"Personalidade do meu conjuge, Minha família","Reciprocidade Amorosa, Aceitação Social, Segurança afetiva (vínculo seguro e constante)",Alegria,sim,sim,Paciência e Diálogo ,"Convesei, Foquei mais no trabalho",,Sim,Ambiente,"Histórias antigas das minhas referências (pais, avós, familiares, líderes), Valores",Amizade
05/04/2023 09:29:12,36 á 41 anos,Pós Graduação,Masculino,Espirita,Sudeste,Casado,Branco,24 á 29 anos,Acimas de 4 anos,1 e 2 anos,Atrapalham muito a relação,Segurança afetiva (vínculo seguro e constante),sim,Personalidade do meu conjuge,Reciprocidade Amorosa,Alegria,não,,,,Ambiente,Não,,Valores,"O início foi de alegria, por compartilhar um ambiente ao nosso, mas também de ansiedade e adaptação por estar vivendo está nova fase!"
05/04/2023 09:29:33,Acima de 42 anos,Pós Graduação,Femino,Evangelico,Sudeste,Casado,Branco,24 á 29 anos,Entre 2 e 3 anos,menos de 6 meses,São importantes para saúde e manutenção do casamento,"Segurança afetiva (vínculo seguro e constante), Ter filhos, Condições de sair da casa dos meus pais e construir minha própria família",sim,"Personalidade do meu conjuge, Ambiente (aspectos referentes a casa, como ter uma casa propria ou ter uma casa bonita), Trabalho (jornada, turno, tempo de descanso, etc)","Reciprocidade Amorosa, Segurança afetiva (vínculo seguro e constante), Ter filhos",Alegria,não,não,,"Convesei, Procurei Terapia individual, Pedi ajuda de lideres religiosos, Perseverei e tentei reajustar a relação","Personalidade do meu conjuge, Financeiros",Sim,"Personalidade do meu conjuge, Financeiros, Ambiente","Histórias antigas das minhas referências (pais, avós, familiares, líderes), Valores, Religião, Trabalho do meu conjuge","Difícil, mas com o Senhor, tudo se ajeitou"
05/04/2023 09:34:35,30 á 35 anos,Pós Graduação,Femino,Católico,Sudeste,Casado,Branco,30 á 35 anos,Acimas de 4 anos,Entre 6 e 1 ano,São importantes para saúde e manutenção do casamento,"Reciprocidade Amorosa, Segurança afetiva (vínculo seguro e constante), Ter filhos",sim,"Personalidade do meu conjuge, A família do conjuge","Reciprocidade Amorosa, Segurança afetiva (vínculo seguro e constante)",Alegria,não,,,,"Financeiros, Ambiente",Sim,Ambiente,Valores,"O início do casamento para mim foi um misto de sentimentos, senti alegrias, medos, indecisões e ao mesmo tempo me senti feliz! Com o tempo fomos aprendendo um com o outro, evitando erros e tentando oferecer sempre o melhor de nós, fomos fortalecendo nossos laços e entendendo que para um casamento se manter em pé, depende das duas partes, depende do diálogo, de saber ceder, saber respeitar, de ajudar, de não replicar os erros, estender a mão quando for preciso, e acima de tudo querer e fazer dar certo! Cansamento é como uma planta que precisa ser cuidado e regado todos os dias. Eu amo minha família!! Espero ter ajudado! Abraços 🤗 "
05/04/2023 09:36:46,18 a 23 anos,Graduação em curso,Femino,Evangelico,Sudeste,Solteiro,Pardo,,,,,,,,,,,,,,,,,,
05/04/2023 09:37:04,,Ensino Fundamental,Femino,Evangelico,Sudeste,Casado,Branco,Acima de 42 anos,Entre 1 e 2 anos,Entre 6 e 1 ano,São importantes para saúde e manutenção do casamento,Reciprocidade Amorosa,sim,Minha família,Reciprocidade Amorosa,Alegria,não,não,,Perseverei e tentei reajustar a relação,"Personalidade do meu conjuge, Ambiente",Sim,Personalidade do meu conjuge,Religião,desafiador
05/04/2023 09:39:31,Acima de 42 anos,Pós Graduação,Femino,Múltiplas ,Sudeste,Divorciado (a),Branco,24 á 29 anos,Entre 2 e 3 anos,1 e 2 anos,Atrapalham muito a relação,Reciprocidade Amorosa,não,"Personalidade do meu conjuge, Financeiros, Ambiente (aspectos referentes a casa, como ter uma casa propria ou ter uma casa bonita), Trabalho (jornada, turno, tempo de descanso, etc)","Reciprocidade Amorosa, Segurança afetiva (vínculo seguro e constante)",Alegria,sim,não,,,Personalidade do meu conjuge,Não,,,
05/04/2023 09:39:50,24 á 29 anos,Graduação em curso,Femino,Sem religião,Sudeste,Casado,Branco,24 á 29 anos,Entre 3 e 4 anos,1 e 2 anos,São importantes para saúde e manutenção do casamento,"Reciprocidade Amorosa, Ascensão financeira, Segurança afetiva (vínculo seguro e constante)",sim,"Personalidade do meu conjuge, Financeiros, Ambiente (aspectos referentes a casa, como ter uma casa propria ou ter uma casa bonita)","Reciprocidade Amorosa, Segurança afetiva (vínculo seguro e constante)",Alegria,não,não,,Perseverei e tentei reajustar a relação,"Personalidade do meu conjuge, Financeiros, Ambiente",Sim,"Financeiros, Ambiente",Valores,"Um pouco desafiador, devido aos costumes diários diferentes, como organização da casa, convivência, financeiramente. Mas ao mesmo tempo, um período de muito crescimento e valorização das pequenas conquistas."
05/04/2023 09:42:10,Acima de 42 anos,Pós Graduação,Femino,Católico,Nordeste,Casado,Branco,18 a 23 anos,Acimas de 4 anos,2 e 3 anos,São importantes para saúde e manutenção do casamento,"Reciprocidade Amorosa, Aceitação Social, Segurança afetiva (vínculo seguro e constante)",sim,"Personalidade do meu conjuge, Minha família, Trabalho (jornada, turno, tempo de descanso, etc)","Reciprocidade Amorosa, Aceitação Social, Segurança afetiva (vínculo seguro e constante), Condições de sair da casa dos meus pais e construir minha própria família",Alegria,sim,sim,Aceitação  social,Procurei Terapia individual,"Personalidade do meu conjuge, Financeiros",Não,,"Valores, Religião",Difícil. Tempo de aprendizado e com dificuldade financeira. Mas feliz 
05/04/2023 09:42:36,30 á 35 anos,Pós Graduação,Femino,"visão espiritualista da realidade, porém sem vínculo a qualquer religião",Sudeste,Casado apenas no religioso,Branco,30 á 35 anos,Entre 3 e 4 anos,2 e 3 anos,São importantes para saúde e manutenção do casamento,"Reciprocidade Amorosa, Aceitação Social, Segurança afetiva (vínculo seguro e constante)",não,"Personalidade do meu conjuge, A família do conjuge, Trabalho (jornada, turno, tempo de descanso, etc)","Reciprocidade Amorosa, Aceitação Social",Medo,não,sim,Que a nossa família tivesse prioridade frente à família de origem dele,"Convesei, Procurei Terapia individual, Perseverei e tentei reajustar a relação","Personalidade do meu conjuge, A família do conjuge ou minha familia",Sim,"Personalidade do meu conjuge, A família do conjuge ou minha familia","Filmes, Histórias antigas das minhas referências (pais, avós, familiares, líderes), Trabalho do meu conjuge",Um período de adaptação entre 2 pessoas que se descobriram muito diferentes e principalmente com culturas diversas 
05/04/2023 09:43:42,30 á 35 anos,Pós Graduação,Femino,Evangelico,Sudeste,Casado,Negro,18 a 23 anos,Entre 1 e 2 anos,Entre 6 e 1 ano,São importantes para saúde e manutenção do casamento,Reciprocidade Amorosa,sim,Minha família,Reciprocidade Amorosa,Alegria,não,não,,,A família do conjuge ou minha familia,Sim,A família do conjuge ou minha familia,"Histórias antigas das minhas referências (pais, avós, familiares, líderes), Valores",foi desafiante porem incrivel 
05/04/2023 09:44:02,Acima de 42 anos,Graduação completa,Femino,Católico,Sudeste,Casado,,30 á 35 anos,Menos de 1 ano,menos de 6 meses,São importantes para saúde e manutenção do casamento,Segurança afetiva (vínculo seguro e constante),sim,"Personalidade do meu conjuge, Trabalho (jornada, turno, tempo de descanso, etc)",Ter filhos,Alegria,sim,sim,A,Procurei Terapia individual,Ambiente,Não,,"Histórias antigas das minhas referências (pais, avós, familiares, líderes)",A
05/04/2023 09:44:53,24 á 29 anos,Ensino Médio,Femino,Evangelico,Sul,Casado,Branco,18 a 23 anos,Acimas de 4 anos,menos de 6 meses,São importantes para saúde e manutenção do casamento,"Reciprocidade Amorosa, Aceitação Social, Ascensão financeira, Segurança afetiva (vínculo seguro e constante), Ter filhos, Cerimônia e festa de casamento (exemplo: se vestir de noiva(o)), Condições de sair da casa dos meus pais e construir minha própria família",sim,"Ambiente (aspectos referentes a casa, como ter uma casa propria ou ter uma casa bonita), Trabalho (jornada, turno, tempo de descanso, etc)","Reciprocidade Amorosa, Aceitação Social, Ascensão financeira, Segurança afetiva (vínculo seguro e constante), Ter filhos, Cerimônia e festa de casamento (exemplo: se vestir de noiva(o)), Condições de sair da casa dos meus pais e construir minha própria família",Alegria,não,não,,Convesei,"Financeiros, Ambiente",Sim,Financeiros,"Valores, Religião",Foi leve e muito bom! Com dificuldades comuns mas aos poucos fomos ajustando com muito diálogo. 
05/04/2023 09:44:55,Acima de 42 anos,Ensino Médio,Femino,Evangelico,Sudeste,Casado,Branco,24 á 29 anos,Entre 2 e 3 anos,Entre 6 e 1 ano,Atrapalham muito a relação,Reciprocidade Amorosa,não,"Financeiros, Ambiente (aspectos referentes a casa, como ter uma casa propria ou ter uma casa bonita)",Reciprocidade Amorosa,Medo,sim,sim,Falta de companheirismo,Pedi ajuda de lideres religiosos,Personalidade do meu conjuge,Sim,Personalidade do meu conjuge,Religião,"Foi realizar um sonho de poder casar com quem se ama de verdade,mas tb descobrir que não  podemos mudar as pessoas, por isso é importante casar disposto a sempre estar ajustando pensamentos e situações ,e fazer renúncia  em prol do outro."
05/04/2023 09:44:58,Acima de 42 anos,Pós Graduação,Femino,Luterana ,Sul,Divorciado (a),Branco,24 á 29 anos,Entre 1 e 2 anos,menos de 6 meses,São importantes para saúde e manutenção do casamento,"Reciprocidade Amorosa, Segurança afetiva (vínculo seguro e constante), Ter filhos",não,"Personalidade do meu conjuge, Financeiros, Trabalho (jornada, turno, tempo de descanso, etc)",Segurança afetiva (vínculo seguro e constante),Alegria,sim,sim,"Segurança afetiva, ","Foquei mais no trabalho, Me separei, Perseverei e tentei reajustar a relação","Personalidade do meu conjuge, Financeiros",Não,,Valores,"Compartilhar projetos, sonhos."
05/04/2023 09:48:25,18 a 23 anos,Graduação completa,Femino,Cristã,Nordeste,Casado,Branco,18 a 23 anos,Acimas de 4 anos,1 e 2 anos,São importantes para saúde e manutenção do casamento,"Reciprocidade Amorosa, Ascensão financeira, Segurança afetiva (vínculo seguro e constante), Ter filhos, Cerimônia e festa de casamento (exemplo: se vestir de noiva(o)), Condições de sair da casa dos meus pais e construir minha própria família",sim,"Personalidade do meu conjuge, Financeiros","Reciprocidade Amorosa, Ascensão financeira, Segurança afetiva (vínculo seguro e constante), Ter filhos",Alegria,não,,,"Convesei, Perseverei e tentei reajustar a relação","Personalidade do meu conjuge, Financeiros, Ambiente",Sim,"Personalidade do meu conjuge, Ambiente","Filmes, Histórias antigas das minhas referências (pais, avós, familiares, líderes), Valores",
05/04/2023 09:48:25,18 a 23 anos,Graduação em curso,Femino,Evangelico,Sudeste,Solteiro,Branco,18 a 23 anos,Entre 1 e 2 anos,Entre 6 e 1 ano,Atrapalham muito a relação,"Reciprocidade Amorosa, Aceitação Social, Segurança afetiva (vínculo seguro e constante), Cerimônia e festa de casamento (exemplo: se vestir de noiva(o)), Condições de sair da casa dos meus pais e construir minha própria família",não,"Personalidade do meu conjuge, Ambiente (aspectos referentes a casa, como ter uma casa propria ou ter uma casa bonita), Minha família, Trabalho (jornada, turno, tempo de descanso, etc)","Reciprocidade Amorosa, Aceitação Social, Ascensão financeira, Segurança afetiva (vínculo seguro e constante), Ter filhos",Medo,não,não,,"Convesei, Procurei Terapia individual, Pedi ajuda de lideres religiosos","Personalidade do meu conjuge, Financeiros",Não,,"Filmes, Histórias antigas das minhas referências (pais, avós, familiares, líderes), Valores",
